qwk,mae,macro_f1,balanced_accuracy,accuracy,exact_or_adjacent,severe_recall,severe_precision,severe_f1,severe_missed,non_severe_progressed,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,severe_roc_auc,severe_pr_auc,severe_brier,log_loss,fold,repeat,model
0.953451,0.2,0.814268,0.817342,0.803125,0.996875,0.947917,0.90099,0.923858,5,10,0.9125,0.746835,0.723077,0.765957,0.818182,0.9375,0.993257,0.985155,0.0325807,0.490752,3,0,stacked
0.953329,0.20625,0.793003,0.790947,0.79375,1,0.896907,0.945652,0.920635,10,5,0.9375,0.734177,0.75,0.744681,0.69697,0.882353,0.99043,0.982191,0.0343397,0.493893,4,0,stacked
0.956914,0.19375,0.798028,0.808612,0.80625,1,0.90625,0.935484,0.920635,9,6,0.91358,0.797468,0.765625,0.6875,0.75,0.9375,0.98963,0.979931,0.0376981,0.499417,0,1,stacked
0.956364,0.1875,0.821204,0.818017,0.8125,1,0.958333,0.938776,0.948454,4,6,0.851852,0.782051,0.784615,0.833333,0.78125,0.875,0.993629,0.984941,0.0265375,0.477242,1,1,stacked
0.952813,0.203125,0.786783,0.779637,0.796875,1,0.916667,0.93617,0.926316,8,6,0.864198,0.794872,0.8,0.75,0.71875,0.75,0.993955,0.985662,0.0313615,0.523102,2,1,stacked
0.951821,0.196875,0.801641,0.798177,0.809375,0.99375,0.895833,0.955556,0.924731,10,4,0.95,0.696203,0.846154,0.787234,0.69697,0.8125,0.992281,0.985,0.029201,0.491171,3,1,stacked
0.957994,0.190625,0.796891,0.801093,0.809375,1,0.958763,0.894231,0.925373,4,11,0.9375,0.835443,0.65625,0.765957,0.787879,0.823529,0.993528,0.987337,0.0320137,0.47004,4,1,stacked
0.957947,0.178125,0.816396,0.802761,0.821875,1,0.927083,0.978022,0.951872,7,2,0.888889,0.797468,0.859375,0.770833,0.75,0.75,0.996187,0.991546,0.024457,0.472719,0,2,stacked
0.950717,0.209375,0.808841,0.804927,0.790625,1,0.927083,0.89899,0.912821,7,10,0.82716,0.74359,0.769231,0.833333,0.71875,0.9375,0.986747,0.973316,0.0415758,0.496703,1,2,stacked
0.959126,0.18125,0.810001,0.810544,0.81875,1,0.958333,0.938776,0.948454,4,6,0.925926,0.75641,0.753846,0.833333,0.84375,0.75,0.994094,0.9894,0.0263969,0.501308,2,2,stacked
0.960813,0.175,0.806568,0.811365,0.825,1,0.947917,0.919192,0.933333,5,8,0.95,0.835443,0.753846,0.787234,0.666667,0.875,0.993071,0.983692,0.0327859,0.45972,3,2,stacked
0.960046,0.18125,0.825463,0.836212,0.81875,1,0.907216,0.967033,0.93617,9,3,0.875,0.78481,0.828125,0.680851,0.848485,1,0.995469,0.990174,0.0255055,0.491125,4,2,stacked
