qwk,mae,macro_f1,balanced_accuracy,accuracy,exact_or_adjacent,severe_recall,severe_precision,severe_f1,severe_missed,non_severe_progressed,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,severe_roc_auc,severe_pr_auc,severe_brier,log_loss,fold,repeat,model
0.962317,0.16875,0.817727,0.821894,0.83125,1,0.958333,0.92,0.938776,4,8,0.9625,0.810127,0.769231,0.787234,0.727273,0.875,0.992141,0.982012,0.0338503,0.487119,3,2,ordered_logit
0.952559,0.21875,0.78642,0.802073,0.78125,1,0.927835,0.957447,0.942408,7,4,0.8625,0.746835,0.734375,0.680851,0.787879,1,0.995238,0.990054,0.0247921,0.508762,4,2,ordered_logit
0.945284,0.225,0.767933,0.765113,0.78125,0.99375,0.864583,0.892473,0.878307,13,10,0.876543,0.797468,0.75,0.666667,0.75,0.75,0.983491,0.957138,0.0541895,0.711541,0,0,frank_hall
0.958289,0.178125,0.802294,0.804825,0.825,0.996875,0.96875,0.958763,0.963731,3,4,0.888889,0.884615,0.784615,0.770833,0.6875,0.8125,0.995815,0.990551,0.0214715,0.556039,1,0,frank_hall
0.943131,0.253125,0.736196,0.746898,0.75,0.996875,0.854167,0.911111,0.88172,14,8,0.950617,0.641026,0.723077,0.604167,0.75,0.8125,0.988979,0.975845,0.0465056,0.786922,2,0,frank_hall
0.953774,0.203125,0.805435,0.813816,0.8,0.996875,0.958333,0.884615,0.92,4,12,0.9375,0.746835,0.676923,0.765957,0.818182,0.9375,0.991304,0.98033,0.0394417,0.592871,3,0,frank_hall
0.955932,0.196875,0.805868,0.807843,0.803125,1,0.927835,0.957447,0.942408,7,4,0.9375,0.734177,0.75,0.787234,0.69697,0.941176,0.988905,0.980481,0.0315469,0.599657,4,0,frank_hall
0.950052,0.221875,0.767434,0.783732,0.78125,0.996875,0.916667,0.926316,0.921466,8,7,0.901235,0.759494,0.71875,0.729167,0.65625,0.9375,0.988142,0.978571,0.0379842,0.755362,0,1,frank_hall
0.951044,0.20625,0.80606,0.804879,0.796875,0.996875,0.927083,0.89899,0.912821,7,10,0.888889,0.74359,0.738462,0.770833,0.8125,0.875,0.993443,0.984569,0.0315725,0.535162,1,1,frank_hall
0.952057,0.209375,0.787463,0.785674,0.790625,1,0.895833,0.955556,0.924731,10,4,0.876543,0.782051,0.784615,0.708333,0.6875,0.875,0.993071,0.983416,0.0314911,0.649598,2,1,frank_hall
0.955655,0.184375,0.810185,0.81243,0.821875,0.99375,0.916667,0.946237,0.931217,8,5,0.9875,0.721519,0.815385,0.808511,0.666667,0.875,0.990653,0.983017,0.0340784,0.648392,3,1,frank_hall
0.954825,0.209375,0.772095,0.781763,0.790625,1,0.927835,0.891089,0.909091,7,11,0.9625,0.797468,0.671875,0.617021,0.818182,0.823529,0.989598,0.978887,0.0436383,0.602411,4,1,frank_hall
0.951356,0.2,0.806568,0.8,0.80625,0.99375,0.885417,0.944444,0.913978,11,5,0.925926,0.759494,0.78125,0.708333,0.8125,0.8125,0.993025,0.98469,0.0347469,0.575109,0,2,frank_hall
0.951781,0.209375,0.805067,0.804638,0.790625,1,0.9375,0.873786,0.904523,6,13,0.876543,0.74359,0.707692,0.8125,0.75,0.9375,0.98577,0.970395,0.0472401,0.566367,1,2,frank_hall
0.950643,0.221875,0.769989,0.77657,0.778125,1,0.9375,0.891089,0.913706,6,11,0.925926,0.74359,0.646154,0.75,0.78125,0.8125,0.991862,0.983349,0.0337159,0.614401,2,2,frank_hall
0.963637,0.1625,0.814369,0.821094,0.8375,1,0.9375,0.947368,0.942408,6,5,0.95,0.822785,0.846154,0.765957,0.666667,0.875,0.994327,0.986677,0.0287293,0.617044,3,2,frank_hall
0.95273,0.2125,0.787586,0.80253,0.790625,0.996875,0.907216,0.956522,0.931217,9,4,0.9125,0.746835,0.78125,0.617021,0.757576,1,0.99325,0.985427,0.0328348,0.71162,4,2,frank_hall
0.945873,0.228125,0.765232,0.773212,0.778125,0.99375,0.864583,0.85567,0.860104,13,14,0.925926,0.734177,0.75,0.666667,0.6875,0.875,0.983631,0.962187,0.0492466,0.586674,0,0,regression_threshold
0.950946,0.2125,0.777928,0.78701,0.790625,0.996875,0.96875,0.911765,0.939394,3,9,0.888889,0.833333,0.676923,0.791667,0.59375,0.9375,0.994466,0.988102,0.0300144,0.550231,1,0,regression_threshold
0.945103,0.246875,0.746688,0.758224,0.75625,0.996875,0.895833,0.886598,0.891192,10,11,0.962963,0.628205,0.676923,0.6875,0.78125,0.8125,0.987258,0.973033,0.0466204,0.57383,2,0,regression_threshold
0.947158,0.234375,0.783786,0.795686,0.76875,0.996875,0.979167,0.846847,0.908213,2,17,0.925,0.620253,0.676923,0.765957,0.848485,0.9375,0.993257,0.985717,0.0408424,0.552489,3,0,regression_threshold
0.950494,0.228125,0.776893,0.78999,0.771875,1,0.927835,0.918367,0.923077,7,8,0.95,0.632911,0.703125,0.787234,0.666667,1,0.988073,0.977548,0.0386944,0.548582,4,0,regression_threshold
0.947601,0.234375,0.753276,0.771058,0.76875,0.996875,0.90625,0.925532,0.915789,9,7,0.876543,0.734177,0.734375,0.75,0.59375,0.9375,0.989351,0.979128,0.036563,0.556672,0,1,regression_threshold
0.949412,0.215625,0.786349,0.786105,0.7875,0.996875,0.96875,0.894231,0.93,3,11,0.925926,0.641026,0.753846,0.833333,0.8125,0.75,0.992327,0.98102,0.0348668,0.545132,1,1,regression_threshold
0.948936,0.225,0.777901,0.776859,0.775,1,0.895833,0.934783,0.914894,10,6,0.864198,0.75641,0.738462,0.708333,0.71875,0.875,0.991304,0.979967,0.0346405,0.532813,2,1,regression_threshold
0.950568,0.20625,0.793509,0.795438,0.8,0.99375,0.90625,0.925532,0.915789,9,7,0.9625,0.708861,0.784615,0.744681,0.69697,0.875,0.988746,0.978714,0.036991,0.553465,3,1,regression_threshold
0.954006,0.2125,0.76796,0.78369,0.7875,1,0.938144,0.858491,0.896552,6,15,0.925,0.873418,0.59375,0.702128,0.666667,0.941176,0.989644,0.979813,0.0420044,0.531252,4,1,regression_threshold
0.954609,0.19375,0.809695,0.806129,0.809375,0.996875,0.927083,0.946809,0.936842,7,5,0.91358,0.772152,0.765625,0.729167,0.84375,0.8125,0.994094,0.986388,0.0305037,0.538865,0,2,regression_threshold
0.948608,0.225,0.784975,0.793071,0.775,1,0.90625,0.878788,0.892308,9,12,0.864198,0.74359,0.692308,0.770833,0.6875,1,0.98191,0.960017,0.0488033,0.54338,1,2,regression_threshold
0.950858,0.221875,0.773094,0.793906,0.78125,0.996875,0.979167,0.87037,0.921569,2,14,0.950617,0.666667,0.646154,0.875,0.6875,0.9375,0.992281,0.983906,0.0361846,0.575049,2,2,regression_threshold
0.951926,0.2125,0.761223,0.773131,0.790625,0.996875,0.895833,0.934783,0.914894,10,6,0.95,0.78481,0.784615,0.638298,0.606061,0.875,0.991815,0.981411,0.0362083,0.543119,3,2,regression_threshold
0.949652,0.23125,0.772606,0.781738,0.76875,1,0.896907,0.925532,0.910995,10,7,0.9,0.683544,0.75,0.595745,0.878788,0.882353,0.992742,0.984411,0.0331054,0.550004,4,2,regression_threshold
0.943526,0.228125,0.741828,0.734132,0.778125,0.99375,0.84375,0.910112,0.875676,15,8,0.901235,0.78481,0.8125,0.625,0.71875,0.5625,0.986142,0.969182,0.0479898,0.650225,0,0,random_forest
0.956204,0.18125,0.776293,0.768904,0.821875,0.996875,0.947917,0.978495,0.962963,5,2,0.925926,0.897436,0.769231,0.833333,0.5625,0.625,0.996512,0.991778,0.0302798,0.634452,1,0,random_forest
0.949876,0.221875,0.78067,0.780763,0.778125,1,0.875,0.94382,0.908108,12,5,0.925926,0.692308,0.753846,0.625,0.875,0.8125,0.991257,0.980984,0.0423477,0.667623,2,0,random_forest
0.954143,0.196875,0.800388,0.797372,0.80625,0.996875,0.958333,0.929293,0.94359,4,7,0.925,0.746835,0.769231,0.744681,0.848485,0.75,0.992141,0.983525,0.0390249,0.651878,3,0,random_forest
