bin,n,mean_predicted,observed_rate,gap
0,248,0.00420716,0,-0.0042
1,7,0.139393,0.142857,0.0035
2,8,0.264614,0.25,-0.0146
3,7,0.351403,0.142857,-0.2085
4,5,0.432557,0.4,-0.0326
5,2,0.578206,0,-0.5782
6,4,0.653168,0.5,-0.1532
7,10,0.763345,0.5,-0.2633
8,10,0.841943,1,0.1581
9,99,0.990779,0.979798,-0.011
